;GO:0008584;GO:0032693;GO:0051491;GO:0046854;GO:0008625;GO:0032848;GO:0030307;GO:0030308;GO:0006958;GO:0007409;GO:2000510;GO:0035556;GO:0051402;GO:0033138;GO:0007260;GO:0000902;GO:0008631;GO:0008630;GO:0042542;GO:0042149;GO:0002885;GO:2000525;GO:0001954;GO:0002922;GO:2000526;GO:0001836;GO:0002408;GO:0030890;GO:0031069;GO:2000522;GO:0072610;GO:0051897;GO:0031103;GO:0035265;GO:0034695;GO:0033089;GO:0014042;GO:0008284;GO:0038095;GO:0043123;GO:0097192;GO:0040018;GO:0043524;GO:0048538;GO:0000165;GO:0002731;GO:2000811;GO:0019221;GO:0051384;GO:2000134;GO:0050852;GO:0050853;GO:2000378;GO:0035771;GO:2001240;GO:0031295;GO:0033077;GO:0000209;GO:0038083;GO:0043375;GO:0035094;GO:0001782;GO:0001541;GO:0001662;GO:0050862;GO:2000547;GO:2000669;GO:0001658;GO:0010523;GO:0050900;GO:0032496;GO:0070059;GO:0038114;GO:0038113;GO:0038116;GO:0038115;GO:0038110;GO:1904894;GO:0038111;GO:0006882;GO:0000018;GO:0002320;GO:0043029;GO:0050871;GO:0001865;GO:0070244;GO:0051607;GO:0006919;GO:0051209;GO:0071456;GO:0071731;GO:0048041;GO:2001243;GO:0019722;GO:2001244;GO:0060397;GO:0007186;GO:0030183;GO:0031274;GO:0014031;GO:0090023;GO:1900740;GO:0043552;GO:0042100;GO:0046425;GO:0042102;GO:0042742;GO:0030217;GO:0033209;GO:0030218;GO:0045221;GO:0045860;GO:0070233;GO:0010507;GO:0046671;GO:0010628;GO:0002606;GO:0001915;GO:0010469;GO:0018105;GO:0018107;GO:0030336;GO:0033689;GO:0090630;GO:0006582;GO:0008361;GO:0045626;GO:0097022;GO:0010559;GO:0097029;GO:0014911;GO:0051902;GO:0032469;GO:0033033;GO:0050706;GO:0006470;GO:0007169;GO:0007202;GO:0007565;GO:0022898;GO:0048743;GO:0007167;GO:0045636;GO:0007569;GO:0030318;GO:0032735;GO:0045084;GO:0048599;GO:0048753;GO:0048873;GO:0045087;GO:0046330;GO:0030838;GO:0070374;GO:0035723;GO:0071345;GO:0032695;GO:0030279
GO:0030217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.5;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0033209;0.0;0.0;0.0;0.14285714285714285;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.125;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.16666666666666666;0.0;0.0
GO:0030218;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045221;0.0;0.2727272727272727;0.23076923076923078;0.0;0.0;0.4444444444444444;0.3;0.4444444444444444;0.0;0.0;0.15384615384615385;0.3;0.0;0.35714285714285715;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.21428571428571427;0.16666666666666666;0.16666666666666666;0.6;0.0;0.0;0.21428571428571427;0.0;0.23076923076923078;0.0;0.23076923076923078;0.0;0.0;0.0;0.21428571428571427;0.0;0.3;0.0;0.23076923076923078;0.2727272727272727;0.18181818181818182;0.36363636363636365;0.0;0.2727272727272727;0.25;0.3333333333333333;0.2727272727272727;0.0;0.3333333333333333;0.0;0.0;0.5555555555555556;0.0;0.3333333333333333;0.21428571428571427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.23076923076923078;0.3076923076923077;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0625;0.36363636363636365;0.0;0.0;0.23076923076923078;0.0;0.26666666666666666;0.0;0.3125;0.4;0.0;0.0;0.0;0.3333333333333333;0.0;0.23076923076923078;0.3333333333333333;0.3;0.0;0.23076923076923078;0.0;0.15384615384615385;0.0;0.25;0.0;0.23076923076923078;0.21428571428571427;0.0;0.0;0.0;0.0;1.0;0.35714285714285715;0.2857142857142857;0.5;0.3;0.36363636363636365;0.16666666666666666;0.2727272727272727;0.2727272727272727;0.0;0.0;0.36363636363636365;0.4;0.07142857142857142;0.0;0.08333333333333333;0.21428571428571427;0.0;0.75;0.0;0.23076923076923078;0.3;0.058823529411764705;0.3333333333333333;0.23076923076923078;0.0;0.25;0.0625;0.0;0.09090909090909091;0.25;0.2727272727272727;0.25;0.0;0.0;0.16666666666666666;0.4166666666666667;0.0;0.0;0.1111111111111111;0.0;0.23076923076923078;0.25;0.3333333333333333;0.25;0.0;0.2727272727272727;0.3
GO:0045860;0.0;0.08333333333333333;0.23076923076923078;0.0;0.0;0.25;0.36363636363636365;0.25;0.0;0.0;0.21428571428571427;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.26666666666666666;0.23076923076923078;0.23076923076923078;0.46153846153846156;0.0;0.0;0.26666666666666666;0.0;0.2857142857142857;0.0;0.2857142857142857;0.0;0.0;0.0;0.26666666666666666;0.0;0.36363636363636365;0.0;0.2857142857142857;0.0;0.25;0.21428571428571427;0.0;0.0;0.07692307692307693;0.2;0.0;0.0;0.2;0.0;0.0;0.3333333333333333;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.08333333333333333;0.1875;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.06666666666666667;0.3333333333333333;0.0;0.0;0.2857142857142857;0.0;0.16666666666666666;0.0;0.4;0.0;0.0;0.0;0.0;0.2;0.0;0.2857142857142857;0.125;0.0;0.0;0.23076923076923078;0.0;0.21428571428571427;0.0;0.6666666666666666;0.0;0.07692307692307693;0.26666666666666666;0.0;0.0;0.0;0.0;0.35714285714285715;1.0;0.17647058823529413;0.3076923076923077;0.09090909090909091;0.45454545454545453;0.23076923076923078;0.08333333333333333;0.25;0.0;0.0;0.21428571428571427;0.23076923076923078;0.4;0.0;0.09090909090909091;0.06666666666666667;0.0;0.4166666666666667;0.0;0.2857142857142857;0.23076923076923078;0.0625;0.2;0.2;0.0;0.0;0.3333333333333333;0.0;0.2222222222222222;0.3076923076923077;0.0;0.3076923076923077;0.0;0.0;0.23076923076923078;0.5;0.0;0.0;0.125;0.0;0.6666666666666666;0.3076923076923077;0.7272727272727273;0.0;0.0;0.08333333333333333;0.09090909090909091
GO:0070233;0.0;0.23076923076923078;0.2;0.0;0.0;0.36363636363636365;0.25;0.36363636363636365;0.0;0.0;0.13333333333333333;0.25;0.0;0.1875;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.1875;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.1875;0.0;0.2;0.0;0.2;0.0;0.0;0.0;0.1875;0.0;0.25;0.0;0.2;0.23076923076923078;0.15384615384615385;0.6363636363636364;0.0;0.23076923076923078;0.21428571428571427;0.6363636363636364;0.23076923076923078;0.0;0.2857142857142857;0.0;0.0;0.3333333333333333;0.0;0.5384615384615384;0.1875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.7272727272727273;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.05555555555555555;0.21428571428571427;0.0;0.0;0.2;0.0;0.9090909090909091;0.0;0.46153846153846156;0.3333333333333333;0.0;0.0;0.0;0.5833333333333334;0.0;0.46153846153846156;0.2727272727272727;0.25;0.0;0.2;0.0;0.13333333333333333;0.42857142857142855;0.1875;0.0;0.2;0.1875;0.0;0.0;0.0;0.0;0.2857142857142857;0.17647058823529413;1.0;0.3076923076923077;0.5454545454545454;0.14285714285714285;0.14285714285714285;0.23076923076923078;0.23076923076923078;0.0;0.0;0.3076923076923077;0.3333333333333333;0.0625;0.0;0.07142857142857142;0.1875;0.0;0.23076923076923078;0.0;0.2;0.25;0.05263157894736842;0.6363636363636364;0.2;0.0;0.0;0.05555555555555555;0.0;0.07692307692307693;0.21428571428571427;0.23076923076923078;0.21428571428571427;0.0;0.0;0.14285714285714285;0.2;0.0;0.0;0.09090909090909091;0.0;0.2;0.21428571428571427;0.1875;0.0;0.0;0.23076923076923078;0.25
GO:0010507;0.0;0.3;0.25;0.0;0.0;0.5;0.3333333333333333;0.5;0.0;0.0;0.16666666666666666;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.23076923076923078;0.18181818181818182;0.18181818181818182;0.36363636363636365;0.0;0.0;0.23076923076923078;0.0;0.25;0.0;0.25;0.0;0.0;0.0;0.23076923076923078;0.0;0.3333333333333333;0.0;0.25;0.3;0.2;0.4;0.0;0.3;0.2727272727272727;0.36363636363636365;0.3;0.0;0.36363636363636365;0.0;0.0;0.625;0.0;0.36363636363636365;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.3333333333333333;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.06666666666666667;0.4;0.0;0.0;0.25;0.0;0.2857142857142857;0.0;0.23076923076923078;0.4444444444444444;0.0;0.0;0.0;0.36363636363636365;0.0;0.25;0.375;0.3333333333333333;0.0;0.25;0.0;0.16666666666666666;0.0;0.2727272727272727;0.0;0.25;0.23076923076923078;0.0;0.0;0.0;0.0;0.5;0.3076923076923077;0.3076923076923077;1.0;0.4;0.3;0.18181818181818182;0.3;0.3;0.0;0.0;0.4;0.4444444444444444;0.07692307692307693;0.0;0.09090909090909091;0.23076923076923078;0.0;0.4444444444444444;0.0;0.25;0.3333333333333333;0.0625;0.36363636363636365;0.25;0.0;0.0;0.06666666666666667;0.0;0.1;0.2727272727272727;0.3;0.2727272727272727;0.0;0.0;0.18181818181818182;0.36363636363636365;0.0;0.0;0.125;0.0;0.25;0.2727272727272727;0.3076923076923077;0.0;0.0;0.3;0.3333333333333333
GO:0046671;0.0;0.5714285714285714;0.2222222222222222;0.0;0.0;0.42857142857142855;0.3333333333333333;0.5;0.0;0.0;0.2;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.2;0.2222222222222222;0.2222222222222222;0.0;0.0;0.0;0.18181818181818182;0.0;0.2;0.0;0.2;0.0;0.0;0.0;0.3333333333333333;0.5;0.3333333333333333;0.0;0.2;0.0;0.42857142857142855;0.6666666666666666;0.0;0.0;0.5;0.6666666666666666;0.0;0.0;0.36363636363636365;0.0;0.0;0.4444444444444444;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2222222222222222;0.6;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.07692307692307693;0.2222222222222222;0.0;0.0;0.2;0.0;0.5;0.0;0.45454545454545453;0.375;0.0;0.0;0.0;0.6;0.0;0.45454545454545453;0.3333333333333333;0.0;0.0;0.2222222222222222;0.0;0.2;0.0;0.2;0.0;0.2;0.18181818181818182;0.0;0.0;0.0;0.0;0.3;0.09090909090909091;0.5454545454545454;0.4;1.0;0.2222222222222222;0.2222222222222222;0.375;0.14285714285714285;0.0;0.0;0.375;0.4444444444444444;0.09090909090909091;0.0;0.1111111111111111;0.2727272727272727;0.0;0.3;0.0;0.2;0.42857142857142855;0.07142857142857142;0.6666666666666666;0.3333333333333333;0.0;0.0;0.07692307692307693;0.0;0.125;0.5555555555555556;0.0;0.4;0.0;0.0;0.375;0.3333333333333333;0.0;0.0;0.16666666666666666;0.0;0.25;0.2727272727272727;0.18181818181818182;0.0;0.0;0.5714285714285714;0.6666666666666666
GO:0010628;0.0;0.2;0.3333333333333333;0.0;0.0;0.2222222222222222;0.375;0.2222222222222222;0.0;0.0;0.3;0.0;0.0;0.45454545454545453;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.2727272727272727;0.3333333333333333;0.3333333333333333;0.5555555555555556;0.0;0.0;0.2727272727272727;0.0;0.3;0.0;0.3;0.0;0.0;0.0;0.25;0.0;0.375;0.0;0.3;0.0;0.375;0.18181818181818182;0.0;0.0;0.18181818181818182;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.3333333333333333;0.0;0.18181818181818182;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.2;0.15384615384615385;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.07142857142857142;0.5;0.0;0.0;0.3;0.0;0.13333333333333333;0.0;0.25;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.3;0.2857142857142857;0.0;0.0;0.3333333333333333;0.0;0.3;0.3333333333333333;0.4444444444444444;0.0;0.18181818181818182;0.2727272727272727;0.0;0.0;0.0;0.0;0.36363636363636365;0.45454545454545453;0.14285714285714285;0.3;0.2222222222222222;1.0;0.3333333333333333;0.2;0.125;0.0;0.0;0.2;0.2;0.08333333333333333;0.0;0.1;0.15384615384615385;0.0;0.4444444444444444;0.0;0.3;0.2222222222222222;0.06666666666666667;0.16666666666666666;0.18181818181818182;0.0;0.0;0.07142857142857142;0.0;0.1111111111111111;0.3;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.5555555555555556;0.0;0.0;0.14285714285714285;0.0;0.38461538461538464;0.3;0.4166666666666667;0.0;0.0;0.2;0.2222222222222222
GO:0002606;0.0;0.2;0.3333333333333333;0.0;0.0;0.2222222222222222;0.375;0.2222222222222222;0.4;0.0;0.4444444444444444;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.4;0.3333333333333333;0.5;0.0;0.0;0.0;0.4;0.0;0.4444444444444444;0.0;0.3;0.0;0.0;0.0;0.36363636363636365;0.0;0.375;0.0;0.3;0.0;0.375;0.18181818181818182;0.0;0.0;0.3;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.2;0.0;0.18181818181818182;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.2;0.15384615384615385;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.07142857142857142;0.2;0.0;0.0;0.4444444444444444;0.0;0.13333333333333333;0.0;0.25;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.3;0.2857142857142857;0.0;0.0;0.3333333333333333;0.0;0.4444444444444444;0.3333333333333333;0.3;0.0;0.18181818181818182;0.4;0.0;0.0;0.0;0.0;0.16666666666666666;0.23076923076923078;0.14285714285714285;0.18181818181818182;0.2222222222222222;0.3333333333333333;1.0;0.2;0.125;0.0;0.0;0.2;0.2;0.08333333333333333;0.0;0.1;0.25;0.0;0.2;0.0;0.3;0.2222222222222222;0.06666666666666667;0.16666666666666666;0.18181818181818182;0.0;0.0;0.07142857142857142;0.0;0.1111111111111111;0.3;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3;0.0;0.0;0.14285714285714285;0.0;0.25;0.3;0.2727272727272727;0.0;0.0;0.2;0.2222222222222222
GO:0001915;0.0;0.3333333333333333;0.2;0.0;0.0;0.375;0.2222222222222222;0.375;0.0;0.0;0.18181818181818182;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.18181818181818182;0.2;0.36363636363636365;0.0;0.0;0.0;0.16666666666666666;0.0;0.18181818181818182;0.0;0.18181818181818182;0.0;0.0;0.0;0.15384615384615385;0.0;0.2222222222222222;0.0;0.18181818181818182;0.0;0.2222222222222222;0.3;0.0;0.0;0.6;0.2727272727272727;0.0;0.0;0.2727272727272727;0.0;0.0;0.3333333333333333;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.2;0.25;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.07142857142857142;0.2;0.0;0.0;0.18181818181818182;0.0;0.21428571428571427;0.0;0.15384615384615385;0.3333333333333333;0.0;0.0;0.0;0.3;0.0;0.18181818181818182;0.2857142857142857;0.0;0.0;0.2;0.0;0.18181818181818182;0.0;0.18181818181818182;0.0;0.18181818181818182;0.16666666666666666;0.0;0.0;0.0;0.0;0.2727272727272727;0.08333333333333333;0.23076923076923078;0.3;0.375;0.2;0.2;1.0;0.125;0.0;0.0;0.3333333333333333;0.3333333333333333;0.08333333333333333;0.0;0.1;0.6363636363636364;0.0;0.2;0.0;0.18181818181818182;0.375;0.06666666666666667;0.2727272727272727;0.18181818181818182;0.0;0.0;0.07142857142857142;0.0;0.1111111111111111;0.18181818181818182;0.0;0.2;0.0;0.0;0.2;0.18181818181818182;0.0;0.0;0.14285714285714285;0.0;0.16666666666666666;0.18181818181818182;0.16666666666666666;0.0;0.0;0.3333333333333333;0.375
GO:0010469;0.0;0.125;0.125;0.0;0.0;0.375;0.375;0.375;0.0;0.0;0.3;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.1111111111111111;0.125;0.375;0.0;0.0;0.0;0.25;0.0;0.1111111111111111;0.0;0.5;0.0;0.0;0.0;0.25;0.0;0.375;0.0;0.5;0.0;0.14285714285714285;0.3;0.0;0.0;0.3333333333333333;0.2727272727272727;0.0;0.0;0.2727272727272727;0.0;0.0;0.3333333333333333;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.125;0.25;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.09090909090909091;0.125;0.0;0.0;0.1111111111111111;0.0;0.21428571428571427;0.0;0.25;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.25;0.0;0.0;0.125;0.0;0.2727272727272727;0.0;0.2222222222222222;0.0;0.5;0.25;0.0;0.0;0.0;0.0;0.2727272727272727;0.25;0.23076923076923078;0.3;0.14285714285714285;0.125;0.125;0.125;1.0;0.0;0.0;0.125;0.3333333333333333;0.25;0.0;0.14285714285714285;0.2727272727272727;0.0;0.3333333333333333;0.0;0.1111111111111111;0.14285714285714285;0.08333333333333333;0.2727272727272727;0.1111111111111111;0.0;0.0;0.2;0.0;0.4;0.3;0.0;0.125;0.0;0.0;0.125;0.1111111111111111;0.0;0.0;0.25;0.0;0.4;0.3;0.4444444444444444;0.0;0.0;0.125;0.14285714285714285
GO:0018105;0.0;0.0;0.0;0.5555555555555556;0.125;0.0;0.0;0.0;0.3;0.125;0.0;0.125;0.1;0.0;0.6666666666666666;0.0;0.125;0.125;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.125;0.125;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.125;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.125;0.0;0.0;0.125;0.125;0.0;0.125;0.0;0.0;0.0;0.45454545454545453;0.6666666666666666;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.125;0.125;0.125;0.125;0.125;0.0;0.125;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.125;0.0;0.125;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.75;0.0;0.0;0.0;0.1111111111111111;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.625;0.125;0.0;0.0;0.0;0.0;0.125;0.0;0.1111111111111111;0.0;0.0;0.0;0.125;0.125;0.0;0.0;0.0;0.07692307692307693;0.0;0.125;0.09090909090909091;0.0;0.0
GO:0018107;0.0;0.0;0.0;0.5555555555555556;0.125;0.0;0.0;0.0;0.3;0.125;0.0;0.125;0.1;0.0;0.6666666666666666;0.0;0.125;0.125;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.125;0.125;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.125;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.125;0.0;0.0;0.125;0.125;0.0;0.125;0.0;0.0;0.0;0.45454545454545453;0.6666666666666666;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.125;0.125;0.125;0.125;0.125;0.0;0.125;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.125;0.0;0.125;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;1.0;0.0;0.0;0.0;0.1111111111111111;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.625;0.125;0.0;0.0;0.0;0.0;0.125;0.0;0.1111111111111111;0.0;0.0;0.0;0.125;0.125;0.0;0.0;0.0;0.07692307692307693;0.0;0.125;0.09090909090909091;0.0;0.0
GO:0030336;0.0;0.3333333333333333;0.2;0.0;0.0;0.5;0.3333333333333333;0.5;0.0;0.0;0.5;0.3333333333333333;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.18181818181818182;0.2;0.2;0.0;0.0;0.0;0.23076923076923078;0.0;0.25;0.0;0.25;0.0;0.0;0.0;0.23076923076923078;0.0;0.3333333333333333;0.0;0.25;0.0;0.2222222222222222;0.4;0.0;0.3;0.3;0.36363636363636365;0.0;0.0;0.36363636363636365;0.0;0.0;0.4444444444444444;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.2;0.3333333333333333;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.07142857142857142;0.2727272727272727;0.0;0.0;0.25;0.0;0.2857142857142857;0.0;0.23076923076923078;0.4444444444444444;0.0;0.0;0.0;0.3;0.0;0.25;0.375;0.3333333333333333;0.0;0.2;0.0;0.5;0.0;0.18181818181818182;0.0;0.25;0.23076923076923078;0.0;0.0;0.0;0.0;0.36363636363636365;0.21428571428571427;0.3076923076923077;0.4;0.375;0.2;0.2;0.3333333333333333;0.125;0.0;0.0;1.0;0.4444444444444444;0.08333333333333333;0.0;0.1;0.25;0.0;0.3;0.0;0.625;0.375;0.06666666666666667;0.36363636363636365;0.25;0.0;0.0;0.07142857142857142;0.0;0.3;0.2727272727272727;0.0;0.2727272727272727;0.0;0.0;0.2;0.25;0.0;0.0;0.14285714285714285;0.0;0.25;0.2727272727272727;0.23076923076923078;0.0;0.0;0.3333333333333333;0.375
